generator,task,category,IoU,PixP,PixR,PixF1,evaluated_images,zero_prediction_images
Lumina_Next-raw,fine-grained,low-level-edge_shape,0.9928065640103405,0.9928065640103405,1.0,0.9963902989283699,5,0
Lumina_Next-raw,fine-grained,low-level-texture,0.9933636118542484,0.9933636118542484,1.0,0.9966707588589027,5,0
Lumina_Next-raw,fine-grained,low-level-color,0.9812682013082991,0.9812682013082991,1.0,0.9905455512386806,5,0
Lumina_Next-raw,fine-grained,low-level-symbol,0.988751702623138,0.988751702623138,1.0,0.9943440413591975,5,0
Lumina_Next-raw,fine-grained,high-level-semantics,0.9828590559089387,0.9828590559089387,1.0,0.9913554399945972,5,0
Lumina_Next-raw,fine-grained,cognitive-level-commonsense,0.8683804627249357,0.8683804627249357,1.0,0.9295542102366537,5,0
Lumina_Next-raw,fine-grained,cognitive-level-physics,0.0,0.0,0.0,0.0,5,0
PA_alpha-raw,fine-grained,low-level-edge_shape,0.9955126609569952,0.9955126609569952,1.0,0.9977512851054261,5,0
PA_alpha-raw,fine-grained,low-level-texture,0.9892600330589607,0.9892600330589607,1.0,0.9946010241182376,5,0
PA_alpha-raw,fine-grained,low-level-color,0.9892032322823354,0.9892032322823354,1.0,0.9945723154163203,5,0
PA_alpha-raw,fine-grained,low-level-symbol,0.0,0.0,0.0,0.0,5,0
PA_alpha-raw,fine-grained,high-level-semantics,0.9820265108964278,0.9820265108964278,1.0,0.9909317615053277,5,0
PA_alpha-raw,fine-grained,cognitive-level-commonsense,0.0,0.0,0.0,0.0,5,0
PA_alpha-raw,fine-grained,cognitive-level-physics,0.9973182316251726,0.9973182316251726,1.0,0.9986573154280751,5,0
SD_1.4-raw,fine-grained,low-level-edge_shape,0.9965070268795198,0.9965070268795198,1.0,0.9982504578879746,5,0
SD_1.4-raw,fine-grained,low-level-texture,0.0,0.0,0.0,0.0,5,0
SD_1.4-raw,fine-grained,low-level-color,0.0,0.0,0.0,0.0,5,0
SD_1.4-raw,fine-grained,low-level-symbol,0.7261446298673513,0.7261446298673513,1.0,0.8413485374318295,5,0
SD_1.4-raw,fine-grained,high-level-semantics,0.984902989915669,0.984902989915669,1.0,0.9923940816447799,5,0
SD_1.4-raw,fine-grained,cognitive-level-commonsense,0.0,0.0,0.0,0.0,5,0
SD_1.4-raw,fine-grained,cognitive-level-physics,0.0,0.0,0.0,0.0,5,0
SD_1.5_realistic_vision-raw,fine-grained,low-level-edge_shape,0.9977551066938158,0.9977551066938158,1.0,0.9988762920446744,5,0
SD_1.5_realistic_vision-raw,fine-grained,low-level-texture,0.9775816169258792,0.9775816169258792,1.0,0.9886637381323509,5,0
SD_1.5_realistic_vision-raw,fine-grained,low-level-color,0.0,0.0,0.0,0.0,5,0
SD_1.5_realistic_vision-raw,fine-grained,low-level-symbol,0.6988235294117647,0.6988235294117647,1.0,0.8227146814404432,5,0
SD_1.5_realistic_vision-raw,fine-grained,high-level-semantics,0.9903399142667391,0.9903399142667391,1.0,0.9951465145907905,5,0
SD_1.5_realistic_vision-raw,fine-grained,cognitive-level-commonsense,0.0,0.0,0.0,0.0,5,0
SD_1.5_realistic_vision-raw,fine-grained,cognitive-level-physics,0.9150799442712134,0.9150799442712134,1.0,0.9556571745305896,5,0
SD_3-raw,fine-grained,low-level-edge_shape,0.9722101606600086,0.9722101606600086,1.0,0.9859092910612065,5,0
SD_3-raw,fine-grained,low-level-texture,0.9919285678252535,0.9919285678252535,1.0,0.995947930912222,5,0
SD_3-raw,fine-grained,low-level-color,0.0,0.0,0.0,0.0,5,0
SD_3-raw,fine-grained,low-level-symbol,0.8068507620341029,0.8068507620341029,1.0,0.8931017203941874,5,0
SD_3-raw,fine-grained,high-level-semantics,0.9952639251700177,0.9952639251700177,1.0,0.9976263416732808,5,0
SD_3-raw,fine-grained,cognitive-level-commonsense,0.7126178715761113,0.7126178715761113,1.0,0.8321971683272155,5,0
SD_3-raw,fine-grained,cognitive-level-physics,0.0,0.0,0.0,0.0,5,0
