generator,category,P@0.5,R@0.5,F1@0.5,TP,FP,FN,evaluated_images,zero_prediction_images,invalid_prediction_boxes
Lumina_Next-raw,low-level-edge_shape,0.7222222222222222,1.0,0.8387096774193548,13,5,0,5,0,0
Lumina_Next-raw,low-level-texture,0.375,1.0,0.5454545454545454,3,5,0,5,0,0
Lumina_Next-raw,low-level-color,0.375,1.0,0.5454545454545454,3,5,0,5,0,0
Lumina_Next-raw,low-level-symbol,0.5,1.0,0.6666666666666666,5,5,0,5,0,0
Lumina_Next-raw,high-level-semantics,0.375,1.0,0.5454545454545454,3,5,0,5,0,0
Lumina_Next-raw,cognitive-level-commonsense,0.2857142857142857,1.0,0.4444444444444445,2,5,0,5,0,0
Lumina_Next-raw,cognitive-level-physics,0.0,0.0,0.0,0,5,0,5,0,0
PA_alpha-raw,low-level-edge_shape,0.6153846153846154,1.0,0.761904761904762,8,5,0,5,0,0
PA_alpha-raw,low-level-texture,0.2857142857142857,1.0,0.4444444444444445,2,5,0,5,0,0
PA_alpha-raw,low-level-color,0.16666666666666666,1.0,0.2857142857142857,1,5,0,5,0,0
PA_alpha-raw,low-level-symbol,0.0,0.0,0.0,0,5,0,5,0,0
PA_alpha-raw,high-level-semantics,0.5833333333333334,1.0,0.7368421052631579,7,5,0,5,0,0
PA_alpha-raw,cognitive-level-commonsense,0.0,0.0,0.0,0,5,0,5,0,0
PA_alpha-raw,cognitive-level-physics,0.2857142857142857,1.0,0.4444444444444445,2,5,0,5,0,0
SD_1.4-raw,low-level-edge_shape,0.7619047619047619,1.0,0.8648648648648648,16,5,0,5,0,0
SD_1.4-raw,low-level-texture,0.0,0.0,0.0,0,5,0,5,0,0
SD_1.4-raw,low-level-color,0.0,0.0,0.0,0,5,0,5,0,0
SD_1.4-raw,low-level-symbol,0.375,1.0,0.5454545454545454,3,5,0,5,0,0
SD_1.4-raw,high-level-semantics,0.4444444444444444,1.0,0.6153846153846153,4,5,0,5,0,0
SD_1.4-raw,cognitive-level-commonsense,0.0,0.0,0.0,0,5,0,5,0,0
SD_1.4-raw,cognitive-level-physics,0.0,0.0,0.0,0,5,0,5,0,0
SD_1.5_realistic_vision-raw,low-level-edge_shape,0.7619047619047619,1.0,0.8648648648648648,16,5,0,5,0,0
SD_1.5_realistic_vision-raw,low-level-texture,0.2857142857142857,1.0,0.4444444444444445,2,5,0,5,0,0
SD_1.5_realistic_vision-raw,low-level-color,0.0,0.0,0.0,0,5,0,5,0,0
SD_1.5_realistic_vision-raw,low-level-symbol,0.16666666666666666,1.0,0.2857142857142857,1,5,0,5,0,0
SD_1.5_realistic_vision-raw,high-level-semantics,0.6875,1.0,0.8148148148148148,11,5,0,5,0,0
SD_1.5_realistic_vision-raw,cognitive-level-commonsense,0.0,0.0,0.0,0,5,0,5,0,0
SD_1.5_realistic_vision-raw,cognitive-level-physics,0.16666666666666666,1.0,0.2857142857142857,1,5,0,5,0,0
SD_3-raw,low-level-edge_shape,0.5833333333333334,1.0,0.7368421052631579,7,5,0,5,0,0
SD_3-raw,low-level-texture,0.5833333333333334,1.0,0.7368421052631579,7,5,0,5,0,0
SD_3-raw,low-level-color,0.0,0.0,0.0,0,5,0,5,0,0
SD_3-raw,low-level-symbol,0.2857142857142857,1.0,0.4444444444444445,2,5,0,5,0,0
SD_3-raw,high-level-semantics,0.6875,1.0,0.8148148148148148,11,5,0,5,0,0
SD_3-raw,cognitive-level-commonsense,0.16666666666666666,1.0,0.2857142857142857,1,5,0,5,0,0
SD_3-raw,cognitive-level-physics,0.0,0.0,0.0,0,5,0,5,0,0
